date,title,artist,peakPos,lastPos,weeks,rank,change
2006-07-15,Everytime We Touch,Cascada,10,46,31,51,-5,
2006-07-15,Holla At Me,"DJ Khaled Featuring Lil Wayne, Paul Wall, Fat Joe, Rick Ross & Pitbull",59,83,4,100,-17,
2006-07-15,I Can't Unlove You,Kenny Rogers,93,93,5,95,-2,
2006-07-15,Kick Push,Lupe Fiasco,78,96,5,98,-2,
2006-07-15,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,7,33,24,42,-9,
2006-07-15,Ridin' Rims,Dem Franchize Boyz,80,90,6,90,0,
2006-07-15,Size Matters (Someday),Joe Nichols,71,80,14,91,-11,
2006-07-08,Be Without You,Mary J. Blige,3,47,33,49,-2,
2006-07-08,Girl Next Door,Saving Jane,31,80,20,89,-9,
2006-07-08,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,7,42,25,50,-8,
2006-07-08,Say I,Christina Milian Featuring Young Jeezy,21,83,13,94,-11,
2006-07-08,Takin' It To The Streets,Taylor Hicks,69,94,4,92,2,
2006-07-08,The Real Thing,Bo Bice,56,87,16,100,-13,
2006-07-01,"A Little Less Sixteen Candles, A Little More Touch Me",Fall Out Boy,65,82,13,91,-9,
2006-07-01,For You I Will (Confidence),Teddy Geiger,29,55,20,60,-5,
2006-07-01,Girl,Paul Wall,35,75,16,95,-20,
2006-07-01,"Mighty ""O""",OutKast,77,77,2,89,-12,
2006-07-01,Why We Thugs,Ice Cube,92,92,2,93,-1,
2006-06-24,4 Minutes,Avant,52,77,14,91,-14,
2006-06-24,Good Luck Charm,Jagged Edge,73,89,10,97,-8,
2006-06-24,High,James Blunt,100,0,1,100,New,
2006-06-24,I Got You,Craig Morgan,92,92,4,94,-2,
2006-06-24,Wanted Dead Or Alive,Chris Daughtry,43,52,3,93,-41,
2006-06-17,Back Like That,Ghostface Killah Featuring Ne-Yo,61,82,10,85,-3,
2006-06-17,Beep,The Pussycat Dolls Featuring will.i.am,13,64,20,70,-6,
2006-06-17,Best Friend,50 Cent & Olivia,35,83,15,91,-8,
2006-06-17,Control Myself,LL Cool J Featuring Jennifer Lopez,4,81,11,99,-18,
2006-06-17,Hustler Musik,Lil Wayne,87,0,6,94,Re-Entry,
2006-06-17,One,Mary J. Blige And U2,86,0,1,86,New,
2006-06-17,Poppin' My Collar,Three 6 Mafia,21,75,16,97,-22,
2006-06-17,Wherever You Are,Jack Ingram,63,93,13,100,-7,
2006-06-10,Love,Keyshia Cole,19,88,19,100,-12,
2006-06-10,Rompe,Daddy Yankee,24,36,28,47,-11,
2006-06-10,Soundtrack To Your Life,Ashley Parker Angel,58,75,2,58,17,
2006-06-10,Stupid Girls,P!nk,13,66,16,85,-19,
2006-06-10,Tell Me When To Go,E-40 Featuring Keak Da Sneak,35,90,15,87,3,
2006-06-10,The Seashores Of Old Mexico,George Strait,85,86,7,88,-2,
2006-06-10,Upside Down,Jack Johnson,38,60,20,65,-5,
2006-06-03,"Dance, Dance",Fall Out Boy,9,45,31,47,-2,
2006-06-03,Ever The Same,Rob Thomas,48,59,20,62,-3,
2006-06-03,Get Drunk And Be Somebody,Toby Keith,47,96,20,100,-4,
2006-06-03,I Am Not My Hair,India.Arie,97,0,1,97,New,
2006-06-03,The Lucky One,Faith Hill,69,69,9,85,-16,
2006-06-03,We Run This,Missy Elliott,48,76,5,89,-13,
2006-05-27,Again And Again,Jewel,80,80,2,89,-9,
2006-05-27,Beautiful Love,The Afters,55,0,7,94,Re-Entry,
2006-05-27,Check On It,Beyonce Featuring Slim Thug,1,43,28,48,-5,
2006-05-27,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",1,47,28,50,-3,
2006-05-27,I Dare You,Shinedown,88,88,2,98,-10,
2006-05-27,In My Mind,Heather Headley,75,97,15,88,9,
2006-05-27,Say Somethin',Mariah Carey Featuring Snoop Dogg,79,79,5,95,-16,
2006-05-27,So Sick,Ne-Yo,1,30,25,41,-11,
2006-05-27,Touch It,Busta Rhymes,16,37,23,49,-12,
2006-05-27,World Wide Suicide,Pearl Jam,41,92,7,99,-7,
2006-05-20,Living In Fast Forward,Kenny Chesney,48,95,17,98,-3,
2006-05-20,The Only Difference Between Martyrdom And Suicide Is Press Coverage,Panic! At The Disco,77,91,8,94,-3,
2006-05-20,Yo (Excuse Me Miss),Chris Brown,7,32,21,41,-9,
2006-05-13,Because Of You,Kelly Clarkson,7,41,37,42,-1,
2006-05-13,Believe,Brooks & Dunn,60,68,20,80,-12,
2006-05-13,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones,5,31,20,37,-6,
2006-05-13,Nobody But Me,Blake Shelton,60,89,14,100,-11,
2006-05-13,Run It!,Chris Brown,1,44,38,47,-3,
2006-05-13,Rush,Aly & AJ,59,70,11,99,-29,
2006-05-13,Shake That,Eminem Featuring Nate Dogg,6,43,21,46,-3,
2006-05-13,Speak,Godsmack,85,0,3,98,Re-Entry,
2006-05-13,Tonight I Wanna Cry,Keith Urban,36,53,20,63,-10,
2006-05-13,Your Man,Josh Turner,38,71,20,74,-3,
2006-05-06,Always On Your Side,Sheryl Crow & Sting,33,81,8,97,-16,
2006-05-06,Dirty Little Secret,The All-American Rejects,9,38,39,45,-7,
2006-05-06,Fresh Azimiz,Bow Wow Featuring J-Kwon & Jermaine Dupri,23,40,20,48,-8,
2006-05-06,King Without A Crown,Matisyahu,28,71,14,85,-14,
2006-05-06,Pump It,The Black Eyed Peas,18,46,22,50,-4,
2006-04-29,Conceited (There's Something About Remy),Remy Ma,90,95,5,95,0,
2006-04-29,"Jesus, Take The Wheel",Carrie Underwood,20,46,24,49,-3,
2006-04-29,Lo Que Son Las Cosas,Anais,79,97,3,100,-3,
2006-04-29,Save The Last Dance For Me,Michael Buble,99,0,1,99,New,
2006-04-29,She Don't Tell Me To,Montgomery Gentry,62,76,16,91,-15,
2006-04-29,Unpredictable,Jamie Foxx Featuring Ludacris,8,39,22,44,-5,
2006-04-22,Every Day Is Exactly The Same,Nine Inch Nails,56,0,1,56,New,
2006-04-22,Gold Digger,Kanye West Featuring Jamie Foxx,1,44,39,50,-6,
2006-04-22,Gold Lion,Yeah Yeah Yeahs,88,88,3,92,-4,
2006-04-22,L.O.V.E.,Ashlee Simpson,22,87,18,98,-11,
2006-04-22,Looking For You,Kirk Franklin,61,61,20,61,0,
2006-04-22,My Humps,The Black Eyed Peas,3,37,36,44,-7,
2006-04-22,Photograph,Nickelback,2,43,33,48,-5,
2006-04-22,Touch The Sky,Kanye West Featuring Lupe Fiasco,42,69,9,87,-18,
2006-04-22,You And Me,Lifehouse,5,45,62,49,-4,
2006-04-15,Breaking Free,"Zac Efron, Andrew Seeley & Vanessa Anne Hudgens",4,88,11,90,-2,
2006-04-15,Cheatin',Sara Evans,69,76,12,99,-23,
2006-04-15,Lo Que Me Gusta A Mi,Juanes,94,0,1,94,New,
2006-04-15,Perfect Situation,Weezer,51,80,17,97,-17,
2006-04-15,Rodeo,Juvenile,41,71,19,82,-11,
2006-04-15,Sorry,Madonna,58,82,6,91,-9,
2006-04-15,Stickwitu,The Pussycat Dolls,5,41,26,46,-5,
2006-04-15,"Sugar, We're Goin' Down",Fall Out Boy,8,44,42,49,-5,
2006-04-15,When I Get Where I'm Going,Brad Paisley Featuring Dolly Parton,39,58,20,63,-5,
2006-04-08,Animals,Nickelback,97,0,3,97,Re-Entry,
2006-04-08,Betcha Can't Do It Like Me,D4L,72,87,8,92,-5,
2006-04-08,Bring Out The Freak In You,Lil Rob,85,86,7,89,-3,
2006-04-08,Goodbye My Lover,James Blunt,66,71,4,87,-16,
2006-04-08,Kerosene,Miranda Lambert,61,90,16,99,-9,
2006-04-08,Lights And Sounds,Yellowcard,50,83,10,94,-11,
2006-04-08,Llame Pa' Verte,Wisin & Yandel,100,0,1,100,New,
2006-04-08,Oh Yes (aka 'Postman'),Juelz Santana,56,73,11,86,-13,
2006-04-08,Talk,Coldplay,86,99,6,96,3,
2006-04-08,Wasteland,10 Years,94,94,2,95,-1,
2006-04-01,Crash,Gwen Stefani,49,84,8,100,-16,
2006-04-01,Feel Good Inc,Gorillaz,14,43,45,50,-7,
2006-04-01,Gotta Go,Trey Songz,67,70,18,82,-12,
2006-04-01,Kryptonite (I'm On It),Purple Ribbon All-Stars,35,93,19,95,-2,
2006-04-01,My Hood,Young Jeezy,77,92,10,98,-6,
2006-03-25,Dare,Gorillaz Featuring Shaun Ryder,87,0,5,96,Re-Entry,
2006-03-25,In The Deep,Bird York,64,0,1,64,Hot Shot Debut,
2006-03-25,Laffy Taffy,D4L,1,42,26,47,-5,
2006-03-25,Nasty Girl,"The Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm",44,78,15,90,-12,
2006-03-25,One Wish,Ray J,11,30,25,40,-10,
2006-03-25,There It Go! (The Whistle Song),Juelz Santana,6,43,24,50,-7,
2006-03-25,We Be Burnin',Sean Paul,6,45,28,48,-3,
2006-03-18,Honky Tonk Badonkadonk,Trace Adkins,30,46,20,53,-7,
2006-03-18,Hung Up,Madonna,7,54,20,74,-20,
2006-03-18,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",15,50,26,49,1,
2006-03-18,Just Might (Make Me Believe),Sugarland,60,79,16,88,-9,
2006-03-18,Luxurious,Gwen Stefani,21,94,20,100,-6,
2006-03-18,Turn It Up,Chamillionaire Featuring Lil' Flip,41,58,20,63,-5,
2006-03-18,When I'm Gone,Eminem,8,74,17,91,-17,
2006-03-18,Who I Am Hates Who I've Been,Relient K,58,81,11,97,-16,
2006-03-18,Wings Of A Butterfly,HIM,87,97,2,87,10,
2006-03-11,Black Sweat,Prince,60,0,1,60,Hot Shot Debut,
2006-03-11,Boondocks,Little Big Town,46,85,20,91,-6,
2006-03-11,Don't Forget About Us,Mariah Carey,1,37,21,47,-10,
2006-03-11,Fireman,Lil Wayne,32,78,17,96,-18,
2006-03-11,She Let Herself Go,George Strait,54,96,19,99,-3,
2006-03-04,Cowboys Are Frequently Secretly (Fond Of Each Other),Willie Nelson,52,0,1,52,Hot Shot Debut,
2006-03-04,Get'cha Head In The Game,Andrew Seeley,23,71,5,87,-16,
2006-03-04,If It's Lovin' That You Want,Rihanna,36,70,20,82,-12,
2006-03-04,Must Be Doin' Somethin' Right,Billy Currington,39,56,20,60,-4,
2006-03-04,My Old Friend,Tim McGraw,79,79,13,94,-15,
2006-03-04,Start Of Something New,"Zac Efron, Andrew Seeley & Vanessa Anne Hudgens",28,92,4,95,-3,
2006-03-04,We're All In This Together,High School Musical Cast,34,97,4,97,0,
2006-02-25,Georgia,Ludacris & Field Mob Featuring Jamie Foxx,39,79,9,89,-10,
2006-02-25,In The Sun,Michael Stipe,69,0,1,69,New,
2006-02-25,Like We Never Loved At All,Faith Hill,45,52,21,50,2,
2006-02-25,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,13,42,23,47,-5,
2006-02-25,What I've Been Looking For,Lucas Grabeel & Ashley Tisdale,35,53,3,94,-41,
2006-02-18,Bat Country,Avenged Sevenfold,60,90,15,96,-6,
2006-02-18,Better Days,Goo Goo Dolls,36,63,20,54,9,
2006-02-18,Bop To The Top,Lucas Grabeel & Ashley Tisdale,62,62,2,87,-25,
2006-02-18,Goodbye For Now,P.O.D.,48,48,2,70,-22,
2006-02-18,Here We Go,Trina Featuring Kelly Rowland,17,68,20,77,-9,
2006-02-18,Hypnotize,System Of A Down,57,92,15,92,0,
2006-02-18,I'm Sprung,T-Pain,8,45,26,46,-1,
2006-02-18,Stick To The Status Quo,High School Musical Cast,43,43,2,72,-29,
2006-02-18,Tequila Makes Her Clothes Fall Off,Joe Nichols,32,83,19,93,-10,
2006-02-11,Heard 'Em Say,Kanye West Featuring Adam Levine,26,71,16,91,-20,
2006-02-11,I Should Have Cheated,Keyshia Cole,30,78,19,99,-21,
2006-02-11,Soul Meets Body,Death Cab For Cutie,60,65,19,82,-17,
2006-02-11,Soul Survivor,Young Jeezy Featuring Akon,4,35,24,46,-11,
2006-02-11,We Belong Together,Gavin DeGraw,26,26,3,75,-49,
2006-02-11,What I've Been Looking For (Reprise),Andrew Seeley & Vanessa Anne Hudgens,67,0,1,67,New,
2006-02-11,When There Was Me And You,Vanessa Anne Hudgens,72,0,1,72,New,
2006-02-04,Beverly Hills,Weezer,10,26,43,38,-12,
2006-02-04,Boyfriend,Ashlee Simpson,19,81,20,77,4,
2006-02-04,Come A Little Closer,Dierks Bentley,31,61,20,69,-8,
2006-02-04,Don't Cha,The Pussycat Dolls Featuring Busta Rhymes,2,39,40,41,-2,
2006-02-04,Have A Nice Day,Bon Jovi,53,85,15,90,-5,
2006-02-04,Miss Me Baby,Chris Cagle,67,82,14,97,-15,
2006-02-04,Twisted Transistor,Korn,64,88,11,89,-1,
2006-02-04,Unbreakable,Alicia Keys,34,70,19,84,-14,
2006-02-04,Wake Me Up When September Ends,Green Day,6,41,27,44,-3,
2006-02-04,We Belong Together,Mariah Carey,1,44,43,48,-4,
2006-01-28,DOA,Foo Fighters,68,88,12,90,-2,
2006-01-28,Good Ride Cowboy,Garth Brooks,59,89,14,93,-4,
2006-01-28,Hit The Floor,Twista Featuring Pitbull,94,99,6,96,3,
2006-01-28,Save Me,Shinedown,72,94,11,94,0,
2006-01-28,Who You'd Be Today,Kenny Chesney,37,76,17,84,-8,
2006-01-21,Better Life,Keith Urban,44,88,20,87,1,
2006-01-21,Girl Tonite,Twista Featuring Trey Songz,14,72,20,68,4,
2006-01-21,Remedy,Seether,70,70,6,96,-26,
2006-01-21,Seasons Of Love,Cast Of Rent,33,65,12,84,-19,
2006-01-21,Shake It Off,Mariah Carey,2,42,26,47,-5,
2006-01-21,Skin (Sarabeth),Rascal Flatts,42,77,17,95,-18,
2006-01-21,Window Shopper,50 Cent,20,47,11,73,-26,
2006-01-14,Best I Ever Had,Gary Allan,51,0,18,94,Re-Entry,
2006-01-14,Comin' To Your City,Big & Rich,72,0,6,89,Re-Entry,
2006-01-14,Confessions Of A Broken Heart (Daughter To Father),Lindsay Lohan,57,0,7,62,Re-Entry,
2006-01-14,Don't Bother,Shakira,42,80,9,73,7,
2006-01-14,Fix You,Coldplay,59,0,7,97,Re-Entry,
2006-01-14,More Than Words,Frankie J,25,88,18,90,-2,
2006-01-14,Presidential,YoungBloodZ,81,93,12,86,7,
2006-01-14,Pretty Vegas,INXS,37,0,6,98,Re-Entry,
2006-01-14,Shake,Ying Yang Twins Featuring Pitbull,41,64,20,91,-27,
2006-01-14,Stricken,Disturbed,95,0,3,95,Re-Entry,
2006-01-14,The Ghost Of You,My Chemical Romance,84,0,1,84,Hot Shot Debut,
2006-01-07,Rakata,Wisin & Yandel,85,85,5,96,-11,
2005-12-31,Big Blue Note,Toby Keith,55,55,12,77,-22,
2005-12-24,Amor Eterno,Cristian Castro,78,0,1,78,New,
2005-12-24,Belly Dancer (Bananza),Akon,30,69,20,87,-18,
2005-12-24,Can I Have It Like That,Pharrell Featuring Gwen Stefani,49,82,8,85,-3,
2005-12-24,Don't Lie,The Black Eyed Peas,14,73,20,94,-21,
2005-12-24,Like You,Bow Wow Featuring Ciara,3,39,21,50,-11,
2005-12-24,Only,Nine Inch Nails,90,90,8,91,-1,
2005-12-17,Ella Y Yo,Aventura Featuring Don Omar,97,0,1,97,New,
2005-12-17,I'm Feeling You,Santana Featuring Michelle Branch & The Wreckers,55,82,8,98,-16,
2005-12-17,Lighters Up,Lil' Kim,31,66,13,93,-27,
2005-12-17,Something To Be Proud Of,Montgomery Gentry,41,78,20,75,3,
2005-12-17,Welcome 2 Detroit,Trick-Trick Featuring Eminem,100,0,1,100,New,
2005-12-17,Your Body,Pretty Ricky,12,36,20,48,-12,
2005-12-10,(I Never Promised You A) Rose Garden,Martina McBride,98,98,2,100,-2,
2005-12-10,Behind These Hazel Eyes,Kelly Clarkson,6,40,34,42,-2,
2005-12-10,Good Is Good,Sheryl Crow,64,0,10,98,Re-Entry,
2005-12-10,Just The Girl,The Click Five,11,83,20,71,12,
2005-12-10,Pon de Replay,Rihanna,2,41,27,44,-3,
2005-12-10,Redneck Yacht Club,Craig Morgan,45,86,19,94,-8,
2005-12-03,Billy's Got His Beer Goggles On,Neal McCoy,75,86,9,99,-13,
2005-12-03,Home,Michael Buble,72,80,20,84,-4,
2005-12-03,Hustler's Ambition,50 Cent,65,65,5,93,-28,
2005-12-03,La Tortura,Shakira Featuring Alejandro Sanz,23,48,31,44,4,
2005-12-03,Listen To Your Heart,D.H.T.,8,41,27,49,-8,
2005-12-03,Play,David Banner,7,36,20,43,-7,
2005-12-03,Probably Wouldn't Be This Way,LeAnn Rimes,54,84,14,92,-8,
2005-12-03,You're Like Comin' Home,Lonestar,63,72,11,78,-6,
2005-11-26,All These Things That I've Done,The Killers,74,100,14,99,1,
2005-11-26,Cool,Gwen Stefani,13,57,20,64,-7,
2005-11-26,Doesn't Remind Me,Audioslave,68,79,11,88,-9,
2005-11-26,Lose Control,Missy Elliott Featuring Ciara & Fat Man Scoop,3,45,28,44,1,
2005-11-26,Naked,Marques Houston,47,86,14,95,-9,
2005-11-26,Outta Control (Remix),50 Cent Featuring Mobb Deep,6,66,19,85,-19,
2005-11-26,Stay With Me (Brass Bed),Josh Gracin,47,73,16,96,-23,
2005-11-26,This Is How A Heart Breaks,Rob Thomas,52,94,20,98,-4,
2005-11-19,A Real Fine Place To Start,Sara Evans,38,74,20,83,-9,
2005-11-19,Badd,Ying Yang Twins Featuring Mike Jones & Mr. ColliPark,29,68,19,85,-17,
2005-11-19,Somebody's Hero,Jamie O'Neal,51,78,17,89,-11,
2005-11-19,Stars,Switchfoot,68,0,5,99,Re-Entry,
2005-11-12,Holiday,Green Day,19,44,32,48,-4,
2005-11-12,I Don't Care,Ricky Martin Featuring Fat Joe & Amerie,65,65,5,99,-34,
2005-11-12,I'm A King,P$C Featuring T.I. & Lil Scrappy,67,79,11,100,-21,
2005-11-12,If You Were Mine,Marcos Hernandez,78,96,8,90,6,
2005-11-12,Precious,Depeche Mode,71,71,3,80,-9,
2005-11-12,Shine On,Ryan Cabrera,86,86,5,98,-12,
2005-11-12,These Words,Natasha Bedingfield,17,62,20,71,-9,
2005-11-05,Charlie Last Name: Wilson,Charlie Wilson,67,76,14,94,-18,
2005-11-05,Hicktown,Jason Aldean,68,68,13,83,-15,
2005-11-05,Let Me Hold You,Bow Wow Featuring Omarion,4,39,24,43,-4,
2005-11-05,Right Here,Staind,55,84,20,98,-14,
2005-10-29,Alcohol,Brad Paisley,28,83,18,91,-8,
2005-10-29,All Jacked Up,Gretchen Wilson,42,71,11,98,-27,
2005-10-29,And I,Ciara,96,0,1,96,New,
2005-10-29,Do You Want To,Franz Ferdinand,76,76,4,82,-6,
2005-10-29,Hollaback Girl,Gwen Stefani,1,40,31,45,-5,
2005-10-29,Mr. Brightside,The Killers,10,44,38,51,-7,
2005-10-29,Scars,Papa Roach,15,39,38,40,-1,
2005-10-29,Since U Been Gone,Kelly Clarkson,2,41,46,43,-2,
2005-10-22,Helena (So Long & Goodnight),My Chemical Romance,33,80,16,87,-7,
2005-10-22,Juicebox,The Strokes,98,0,1,98,New,
2005-10-22,Mississippi Girl,Faith Hill,29,86,20,82,4,
2005-10-22,Must Be Nice,Lyfe Jennings,40,56,20,60,-4,
2005-10-22,Pimpin' All Over The World,Ludacris Featuring Bobby Valentino,9,54,20,72,-18,
2005-10-22,Play Something Country,Brooks & Dunn,37,83,17,97,-14,
2005-10-15,As Good As I Once Was,Toby Keith,28,56,20,66,-10,
2005-10-15,Back Then,Mike Jones,22,73,20,76,-3,
2005-10-15,Don't Phunk With My Heart,The Black Eyed Peas,3,44,26,46,-2,
2005-10-15,Footprints,T.O.K.,93,93,6,100,-7,
2005-10-15,Get It Poppin',Fat Joe Featuring Nelly,9,51,20,58,-7,
2005-10-15,Tell Me,Bobby Valentino,51,81,14,87,-6,
2005-10-15,Welcome To Jamrock,"Damian ""Jr. Gong"" Marley",55,65,12,74,-9,
2005-10-08,Cater 2 U,Destiny's Child,14,37,24,37,0,
2005-10-08,Georgia Rain,Trisha Yearwood,78,78,9,83,-5,
2005-10-08,Lonely No More,Rob Thomas,6,48,34,50,-2,
2005-10-08,Wake Up,Hilary Duff,29,91,6,99,-8,
2005-10-01,And Then What,Young Jeezy Featuring Mannie Fresh,67,79,11,99,-20,
2005-10-01,Axel F,Crazy Frog,50,88,7,97,-9,
2005-10-01,Best Of You,Foo Fighters,18,43,21,49,-6,
2005-10-01,Good Times,Tommy Lee,95,0,1,95,New,
2005-10-01,How To Deal,Frankie J,39,85,19,100,-15,
2005-10-01,Make Her Feel Good,Teairra Mari,35,83,18,90,-7,
2005-10-01,Sittin' Sidewayz,Paul Wall Featuring Big Pokey,93,0,5,93,Re-Entry,
2005-10-01,So Seductive,Tony Yayo Featuring 50 Cent,48,65,15,81,-16,
2005-10-01,Something More,Sugarland,35,63,20,74,-11,
2005-10-01,Who Did You Think I Was,John Mayer Trio,92,0,1,92,New,
2005-09-24,Diamonds From Sierra Leone,Kanye West,43,51,19,73,-22,
2005-09-24,Do You Want Fries With That,Tim McGraw,59,65,11,75,-10,
2005-09-24,Gotta Getcha,Jermaine Dupri,60,79,11,94,-15,
2005-09-24,Gotta Make It,Trey Songz Featuring Twista,87,97,7,97,0,
2005-09-24,Help Somebody,Van Zant,66,71,11,93,-22,
2005-09-24,Just A Lil Bit,50 Cent,3,39,27,49,-10,
2005-09-24,Just Want You To Know,Backstreet Boys,70,70,4,81,-11,
2005-09-24,Summer Nights,Lil Rob,36,87,14,99,-12,
2005-09-24,These Boots Are Made For Walkin',Jessica Simpson,14,75,11,95,-20,
2005-09-17,Collide,Howie Day,20,48,32,49,-1,
2005-09-17,Fast Cars And Freedom,Rascal Flatts,38,68,20,69,-1,
2005-09-17,Give Me That,Webbie Featuring Bun B,29,58,20,81,-23,
2005-09-17,Inside Your Heaven,Carrie Underwood,1,94,12,98,-4,
2005-09-17,Outta Control,50 Cent,92,0,1,92,New,
2005-09-17,Speed Of Sound,Coldplay,8,47,20,40,7,
2005-09-10,Dem Boyz,Boyz N Da Hood,56,88,12,96,-8,
2005-09-10,Free Yourself,Fantasia,41,49,20,44,5,
2005-09-10,Grind With Me,Pretty Ricky,7,30,22,37,-7,
2005-09-10,Switch,Will Smith,7,45,28,49,-4,
2005-09-03,Don't Worry 'Bout A Thing,SHeDAISY,59,76,10,93,-17,
2005-09-03,Incomplete,Backstreet Boys,13,65,20,78,-13,
2005-09-03,Let Me Go,3 Doors Down,14,45,31,51,-6,
2005-09-03,Making Memories Of Us,Keith Urban,34,77,20,77,0,
2005-09-03,Untitled (How Can This Happen To Me?),Simple Plan,49,75,16,80,-5,
2005-08-27,B.Y.O.B.,System Of A Down,27,75,20,81,-6,
2005-08-27,Chariot,Gavin DeGraw,30,52,20,61,-9,
2005-08-27,Dreams,The Game,32,72,13,91,-19,
2005-08-27,I Can't Stop Loving You,Kem,84,96,14,97,-1,
2005-08-27,Nada Es Para Siempre,Luis Fonsi,90,0,1,90,New,
2005-08-27,Oh,Ciara Featuring Ludacris,2,33,23,41,-8,
2005-08-27,Playa's Only,R. Kelly Featuring The Game,65,0,7,93,Re-Entry,
2005-08-20,Be My Escape,Relient K,82,87,4,88,-1,
2005-08-20,Girl,Beck,100,0,1,100,New,
2005-08-20,Inside Your Heaven,Bo Bice,2,66,7,89,-23,
2005-08-20,Pickin' Wildflowers,Keith Anderson,64,80,12,95,-15,
2005-08-20,The Hand That Feeds,Nine Inch Nails,31,82,20,84,-2,
2005-08-20,Trapped In The Closet,R. Kelly,22,78,16,93,-15,
2005-08-20,Wordplay,Jason Mraz,81,91,4,81,10,
2005-08-13,Baby I'm Back,Baby Bash Featuring Akon,19,38,25,39,-1,
2005-08-13,Girl,Destiny's Child,23,0,19,95,Re-Entry,
2005-08-13,Go!,Common,79,83,6,93,-10,
2005-08-13,You'll Be There,George Strait,54,69,17,88,-19,
2005-08-06,ASAP,T.I.,75,82,8,95,-13,
2005-08-06,Energy,Natalie Featuring Baby Bash,66,73,8,86,-13,
2005-08-06,Goodbye Time,Blake Shelton,73,78,9,85,-7,
2005-08-06,Keg In The Closet,Kenny Chesney,64,79,10,89,-10,
2005-08-06,Lot Of Leavin' Left To Do,Dierks Bentley,47,91,19,94,-3,
2005-07-30,Ass Like That,Eminem,60,82,7,98,-16,
2005-07-30,Boulevard Of Broken Dreams,Green Day,2,41,36,45,-4,
2005-07-30,Like You,Daddy Yankee,78,93,7,95,-2,
2005-07-30,My Sister,Reba McEntire,93,98,4,93,5,
2005-07-30,Notice Me,NB Ridaz Featuring Angelina,84,94,2,84,10,
2005-07-30,Slow Down,Bobby Valentino,8,33,22,37,-4,
2005-07-30,Touch,Omarion,94,0,3,94,Re-Entry,
2005-07-23,"1, 2 Step",Ciara Featuring Missy Elliott,2,44,39,50,-6,
2005-07-23,American Baby,Dave Matthews Band,16,87,11,84,3,
2005-07-23,Be Yourself,Audioslave,32,97,18,99,-2,
2005-07-23,Don't Ask Me How I Know,Bobby Pinson,88,88,7,97,-9,
2005-07-23,I'm A Hustla,Cassidy,34,74,19,85,-11,
2005-07-23,If Something Should Happen,Darryl Worley,75,78,9,76,2,
2005-07-23,Sgt. Pepper's Lonely Hearts Club Band,Paul McCartney With U2,48,0,1,48,Hot Shot Debut,
2005-07-23,Wait (The Whisper Song),Ying Yang Twins,15,43,22,47,-4,
2005-07-16,Girlfight,Brooke Valentine Featuring Lil Jon & Big Boi,23,54,20,58,-4,
2005-07-16,Hate It Or Love It,The Game Featuring 50 Cent,2,35,23,47,-12,
2005-07-16,Sugar (Gimme Some),"Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo",20,41,26,46,-5,
2005-07-16,The Talkin' Song Repair Blues,Alan Jackson,99,100,2,99,1,
2005-07-16,U Already Know,112 Featuring Foxy Brown,32,57,20,70,-13,
2005-07-09,All Because Of You,Marques Houston Featuring Young Rome,69,91,10,86,5,
2005-07-09,An Honest Mistake,The Bravery,97,0,1,97,New,
2005-07-09,Blue Orchid,The White Stripes,43,87,7,94,-7,
2005-07-09,Breakaway,Kelly Clarkson,6,42,46,50,-8,
2005-07-09,Candy Shop,50 Cent Featuring Olivia,1,41,23,49,-8,
2005-07-09,How Could You,Mario,52,70,17,76,-6,
2005-07-09,Live Like You Were Dying,Tim McGraw,29,29,23,46,-17,
2005-07-09,Lonely,Akon,4,54,20,60,-6,
2005-07-09,"Sitting, Waiting, Wishing",Jack Johnson,66,85,19,95,-10,
2005-07-02,Almost,Bowling For Soup,46,88,20,95,-7,
2005-07-02,Errtime,Nelly Featuring Jung Tru & King Jacob,24,59,6,74,-15,
2005-07-02,La Camisa Negra,Juanes,89,98,13,94,4,
2005-07-02,My Give A Damn's Busted,Jo Dee Messina,63,73,20,75,-2,
2005-07-02,Songs About Me,Trace Adkins,59,91,15,96,-5,
2005-06-25,1 Thing,Amerie,8,61,20,64,-3,
2005-06-25,Again,Faith Evans,47,80,14,90,-10,
2005-06-25,Anything But Mine,Kenny Chesney,48,98,20,100,-2,
2005-06-25,Disco Inferno,50 Cent,3,35,29,45,-10,
2005-06-25,Goin' Crazy,Natalie,13,70,20,80,-10,
2005-06-25,Let Me Love You,Mario,1,38,36,46,-8,
2005-06-25,Rich Girl,Gwen Stefani Featuring Eve,7,44,27,50,-6,
2005-06-18,Gone,Montgomery Gentry,53,86,20,90,-4,
2005-06-18,Homewrecker,Gretchen Wilson,56,74,13,95,-21,
2005-06-18,MJB Da MVP,Mary J. Blige Featuring The Game & 50 Cent,75,78,8,75,3,
2005-06-18,Number One Spot,Ludacris,19,79,16,96,-17,
