title,artist,peakPos,rank
So Far Away,Staind,24,44
(There's Gotta Be) More To Life,Stacie Orrico,30,82
Stacy's Mom,Fountains Of Wayne,21,97
The Set Up,Obie Trice Featuring Nate Dogg,73,96
Why Can't I?,Liz Phair,32,57
Another Postcard (Chimps),Barenaked Ladies,82,99
Knock Knock,Monica,75,95
Pass That Dutch,Missy Elliott,27,100
Weak And Powerless,A Perfect Circle,61,96
Clubbin,Marques Houston Featuring Joe Budden & Pied Piper,39,74
Harder To Breathe,Maroon 5,18,50
I Love This Bar,Toby Keith,26,51
Me Against The Music,Britney Spears Featuring Madonna,35,95
Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",1,38
Walking In Memphis,Lonestar,61,100
Bigger Than My Body,John Mayer,33,96
Heaven,Live,59,97
Rain On Me,Ashanti,7,81
Wave On Wave,Pat Green,39,88
I Melt,Rascal Flatts,34,81
One More Chance,Michael Jackson,83,100
Tough Little Boys,Gary Allan,32,88
Clap Back,Ja Rule,44,93
I Can't Take You Anywhere,Scotty Emerick With Toby Keith,91,98
Right Thurr,Chingy,2,35
Show Me How To Live,Audioslave,67,88
So Yesterday,Hilary Duff,42,99
Who Wouldn't Wanna Be Me,Keith Urban,30,67
Amazing,Josh Kelley,79,90
Bad Boy This Bad Boy That,Bad Boy's Da Band,50,97
"Can't Stop, Won't Stop",Young Gunz,14,69
Take Me Away,Fefe Dobson,87,96
This One's For The Girls,Martina McBride,39,100
Can't Hold Us Down,Christina Aguilera Featuring Lil' Kim,12,65
Hot & Wet,112 Featuring Ludacris,70,98
I Need You Now,Smokie Norful,96,99
Never (Past Tense),The Roc Project Featuring Tina Arena,97,100
Party To Damascus,Wyclef Jean Featuring Missy Elliott,65,94
Calling All Angels,Train,19,46
Faint,Linkin Park,48,81
Find A Way,Dwele,93,97
Into You,Fabolous Featuring Tamia Or Ashanti,4,49
"Roc Ya Body ""Mic Check 1,2""",M.V.P. (Most Valuable Playas) Featuring Stagga Lee,82,88
Waiting For You,Seal,89,91
Low,Kelly Clarkson,58,98
Naggin,Ying Yang Twins,87,90
Officially Missing You,Tamia,83,100
Thoia Thoing,R. Kelly,13,65
Walk A Little Straighter,Billy Currington,67,92
Where Is The Love?,The Black Eyed Peas,8,45
Crazy In Love,Beyonce Featuring Jay Z,1,46
Drift Away,Uncle Kracker Featuring Dobie Gray,9,42
If I Can't,50 Cent,76,91
Ooh!,Mary J. Blige,29,100
Real Good Man,Tim McGraw,27,75
Senorita,Justin Timberlake,27,95
The Boys Of Summer,The Ataris,20,94
Frontin',Pharrell Featuring Jay-Z,5,46
Got Some Teeth,Obie Trice,54,100
P.I.M.P.,50 Cent,3,37
"Pon De River, Pon De Bank",Elephant Man,86,99
This Is How We Do,Big Tymers,97,97
24's,T.I.,78,91
Dance With My Father,Luther Vandross,38,58
It's Five O'Clock Somewhere,Alan Jackson & Jimmy Buffett,17,56
My Love Is Like... Wo,Mya,13,57
"No Shoes, No Shirt, No Problems",Kenny Chesney,28,85
The Remedy (I Won't Worry),Jason Mraz,15,46
Trouble,P!nk,68,83
A Few Questions,Clay Walker,55,99
Addicted,Simple Plan,45,88
Danger,Erykah Badu,82,95
Help Pour Out The Rain (Lacey's Song),Buddy Jewell,29,78
Hole In The World,Eagles,69,94
What Was I Thinkin',Dierks Bentley,22,51
Celebrity,Brad Paisley,31,93
Come Over,Aaliyah,32,47
Forever And For Always,Shania Twain,20,45
In Those Jeans,Ginuwine,8,74
Let's Get Down,Bow Wow Featuring Baby,14,89
Lovin' All Night,Patty Loveless,81,100
Signs Of Love Makin',Tyrese,57,99
Bring Me To Life,Evanescence Featuring Paul McCoy,5,42
Crazy,Javier,95,100
Girls And Boys,Good Charlotte,48,97
I Want You,Thalia Featuring Fat Joe,22,96
Like Glue,Sean Paul,13,84
Are You Happy Now?,Michelle Branch,16,50
Did My Time,Korn,38,94
Light Your A** On Fire,Busta Rhymes,58,95
"Never Leave You - Uh Ooh, Uh Oooh!",Lumidee,3,47
Red Dirt Road,Brooks & Dunn,25,61
Rest In Pieces,Saliva,93,99
Then They Do,Trace Adkins,52,98
This Is The Night,Clay Aiken,1,97
Where The Hood At?,DMX,68,84
Magic Stick,Lil' Kim Featuring 50 Cent,2,50
Rubberneckin',Elvis Presley,94,100
Seven Nation Army,The White Stripes,76,81
Sympathy For The Devil (Remixes),The Rolling Stones,97,97
Get Busy,Sean Paul,1,50
Love At 1st Sight,Mary J. Blige Featuring Method Man,22,100
Miss Independent,Kelly Clarkson,9,43
Rock Wit U (Awww Baby),Ashanti,2,46
Simply Being Loved (Somnambulist),BT,98,98
When I'm Gone,3 Doors Down,4,47
99.9% Sure (I've Never Been Here Before),Brian McComas,57,100
Intuition,Jewel,20,77
Just Because,Jane's Addiction,72,96
Roun' The Globe,Nappy Roots,96,97
Send The Pain Below,Chevelle,65,91
So Gone,Monica,10,47
Beer For My Horses,Toby Keith Duet With Willie Nelson,22,52
Breathe,Blu Cantrell Featuring Sean Paul,70,95
I Wish I Wasn't,Heather Headley,55,66
My Front Porch Looking In,Lonestar,23,50
Na Na Na,112 Featuring Super Cat,75,93
She Only Smokes When She Drinks,Joe Nichols,72,91
Like A Pimp,David Banner Featuring Lil' Flip,48,78
Stay Gone,Jimmy Wayne,32,95
Almost Home,Craig Morgan,59,94
Cop That Sh#!,Timbaland & Magoo Featuring Missy Elliott,95,95
Feelin' Freaky,Nick Cannon Featuring B2K,92,92
Flying Without Wings,Ruben Studdard,2,91
Stupid Girl,Cold,87,100
"Swing, Swing",The All-American Rejects,60,96
21 Questions,50 Cent Featuring Nate Dogg,1,49
Don't Wanna Try,Frankie J,19,56
Fighter,Christina Aguilera,20,77
Ignition,R. Kelly,2,50
Pump It Up,Joe Budden,38,100
What The World Needs,Wynonna,70,87
Act A Fool,Ludacris,32,100
I Know What You Want,Busta Rhymes & Mariah Carey Featuring The Flipmode Squad,3,48
I'm Glad,Jennifer Lopez,32,94
If You're Not The One,Daniel Bedingfield,15,54
Love You Out Loud,Rascal Flatts,30,87
Never Scared,Bone Crusher Featuring Killer Mike & T.I.,26,84
Rock Your Body,Justin Timberlake,5,49
Snake,R. Kelly Featuring Big Tigger,16,97
Still Ballin,2Pac Featuring Trick Daddy,69,92
Three Wooden Crosses,Randy Travis,31,88
What Would You Do?,The Isley Brothers Featuring Ronald Isley,49,98
Big Yellow Taxi,Counting Crows Featuring Vanessa Carlton,42,58
Can't Let You Go,Fabolous Featuring Mike Shorey & Lil' Mo,4,48
In Love Wit Chu,Da Brat Featuring Cherish,44,92
No Letting Go,Wayne Wonder,11,50
Say Yes,Floetry,24,87
The Love Song,Jeff Bates,59,91
What A Beautiful Day,Chris Cagle,41,97
4 Ever,Lil' Mo Featuring Fabolous,37,96
I Believe,Diamond Rio,31,85
In Da Club,50 Cent,1,46
Put That Woman First,Jaheim,20,69
Sing For The Moment,Eminem,14,100
Speed,Montgomery Gentry,47,73
Tell Me Something Bad About Tulsa,George Strait,69,97
The Truth About Men,Tracy Byrd,77,93
Feel Good Time,P!nk Featuring William Orbit,60,87
Have You Forgotten?,Darryl Worley,22,94
I Love You,Dru Hill,77,99
Somewhere I Belong,Linkin Park,32,84
Stuck,Stacie Orrico,52,100
Concrete Angel,Martina McBride,47,99
Picture,Kid Rock Featuring Sheryl Crow,4,50
Raining On Sunday,Keith Urban,38,97
Tal Vez,Ricky Martin,74,100
Times Like These,Foo Fighters,65,89
Try It On My Own,Whitney Houston,84,95
I Can,Nas,12,100
Like A Stone,Audioslave,31,55
She's My Kind Of Rain,Tim McGraw,27,97
Big Star,Kenny Chesney,28,91
Hell Yeah,Ginuwine Featuring Baby,17,93
Beware Of The Boys (Mundian To Bach Ke),Panjabi MC Featuring Jay-Z,33,98
Clocks,Coldplay,29,50
God Bless The U.S.A.,American Idol Finalists,4,94
Price To Play,Staind,66,100
Beautiful,Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson,6,39
Can't Stop,Red Hot Chili Peppers,57,98
Emotional Rollercoaster,Vivian Green,39,96
Excuse Me Miss,JAY-Z,8,97
Flipside,Freeway Featuring Peedi Crakk,95,100
How You Gonna Act Like That,Tyrese,7,33
How You Want That,Loon Featuring Kelis,88,94
Miss You,Aaliyah,3,50
That'd Be Alright,Alan Jackson,29,91
The Jump Off,Lil' Kim Featuring Mr. Cheeks,17,82
Angel,Amanda Perez,20,42
Can't Stop Loving You,Phil Collins,76,97
Make Me A Song,Kiley Dean,99,99
The Game Of Love,Santana Featuring Michelle Branch,5,50
Brokenheartsville,Joe Nichols,27,75
I'm With You,Avril Lavigne,4,50
P***ycat,"Missy ""Misdemeanor"" Elliott",77,100
Peacekeeper,Fleetwood Mac,80,98
Straight Out Of Line,Godsmack,73,97
The Anthem,Good Charlotte,43,91
Get By,Talib Kweli,77,98
Girlfriend,B2K,30,97
Losing Grip,Avril Lavigne,64,93
Step Daddy,Hitman Sammy Sam,90,99
American Life,Madonna,37,86
Beautiful,Christina Aguilera,2,49
Girl All The Bad Guys Want,Bowling For Soup,64,99
Pimp Juice,Nelly,58,98
Roll Wit M.V.P. (We Be Like! The La La Song),Stagga Lee,91,96
X Gon' Give It To Ya,DMX,60,100
All I Have,Jennifer Lopez Featuring LL Cool J,1,49
All The Things She Said,t.A.T.u.,20,100
Man To Man,Gary Allan,25,85
Superman,Eminem,15,94
Your Body Is A Wonderland,John Mayer,18,48
Fine Again,Seether,61,98
Gossip Folks,"Missy ""Misdemeanor"" Elliott Featuring Ludacris",8,66
I Drove All Night,Celine Dion,45,100
Mesmerize,Ja Rule Featuring Ashanti,2,63
No One Knows,Queens Of The Stone Age,51,89
No One's Gonna Change You,Reina,96,99
Cry Me A River,Justin Timberlake,3,58
I'd Do Anything,Simple Plan,51,97
Running,No Doubt,62,99
Soldier's Heart,R. Kelly,80,91
Always,Saliva,51,95
Blowin' Me Up (With Her Love),JC Chasez,35,94
"Bump, Bump, Bump",B2K & P. Diddy,1,49
Don't Dream It's Over,Sixpence None The Richer,78,98
Don't Know Why,Norah Jones,30,45
Lifestyles Of The Rich And Famous,Good Charlotte,20,100
Sick Of Being Lonely,Field Mob,18,48
What Happened To That Boy,Baby Featuring Clipse,45,93
Choppa Style,Choppa Featuring Master P,94,100
Damaged,TLC,53,71
Laundromat,Nivea,58,94
Tell Me (What's Goin' On),Smilez & Southstar,28,89
That Girl,Marques Houston,63,93
The Baby,Blake Shelton,28,90
Thugz Mansion,2Pac,19,78
Yeah Yeah U Know It,Keith Murray Featuring Def Squad,99,99
You Can't Hide Beautiful,Aaron Lines,38,98
A.D.I.D.A.S.,Killer Mike Featuring Big Boi,60,100
B R Right,Trina Featuring Ludacris,83,99
Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,8,45
Rock You Baby,Toby Keith,66,98
The Red,Chevelle,56,83
Wanksta,50 Cent,13,35
19 Somethin',Mark Wills,23,46
All I Need,Fat Joe Featuring Tony Sunshine & Armageddon,86,94
Can't Nobody,Kelly Rowland,97,100
Landslide,Dixie Chicks,7,43
Travelin' Soldier,Dixie Chicks,25,97
Up!,Shania Twain,63,98
'03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,4,46
Come Close To Me,Common Featuring Mary J. Blige,65,96
Do That...,Baby Featuring P. Diddy,33,95
Fabulous,Jaheim Featuring Tha Rayne,28,76
Fall Into Me,Emerson Drive,34,83
Family Portrait,P!nk,20,90
I Should Be...,Dru Hill,25,98
The Wreckoning,Boomkat,88,88
Air Force Ones,"Nelly Featuring Kyjuan, Ali & Murphy Lee",3,41
Beautiful Goodbye,Jennifer Hanson,76,91
Chrome,Trace Adkins,74,93
I Just Wanna Be Mad,Terri Clark,27,52
I Wish You'd Stay,Brad Paisley,57,100
"Ma, I Don't Love Her",Clipse Featuring Faith Evans,86,99
Make It Clap,Busta Rhymes Featuring Spliff Star,46,85
One Of Those Days,Whitney Houston,72,95
Paradise,LL Cool J Featuring Amerie,36,98
Underneath It All,No Doubt Featuring Lady Saw,3,50
All My Life,Foo Fighters,43,82
Bother,Stone Sour,56,98
Break You Off,The Roots Featuring Musiq,99,99
In A Little While,Uncle Kracker,59,85
Made You Look,Nas,32,93
Satisfaction,Eve,27,94
She Hates Me,Puddle Of Mudd,13,46
Something,Lasgo,35,90
Talkin' To Me,Amerie,51,100
A Lot Of Things Different,Kenny Chesney,55,96
I'd Rather,Luther Vandross,83,100
Lose Yourself,Eminem,1,43
Love Of My Life (An Ode To Hip Hop),Erykah Badu Featuring Common,9,40
Through The Rain,Mariah Carey,81,94
What We Do,Freeway Featuring Jay-Z & Beanie Sigel,97,97
Breathe,Telepopmusik,78,95
Cochise,Audioslave,69,96
Disease,matchbox twenty,29,81
dontchange,Musiq,17,48
He Is,Heather Headley,90,97
I'm Gonna Getcha Good!,Shania Twain,34,89
You Know You're Right,Nirvana,45,87
Cry,Faith Hill,33,50
Jenny From The Block,Jennifer Lopez Featuring Styles & Jadakiss,3,49
Red Rag Top,Tim McGraw,40,92
Take You Home,Angie Martinez Featuring Kelis,85,99
Unusually Unusual,Lonestar,66,98
She'll Leave You With A Smile,George Strait,23,47
Spin,Lifehouse,71,94
These Days,Rascal Flatts,23,57
Thug Holiday,Trick Daddy Featuring LaTocha Scott,87,95
Who's Your Daddy?,Toby Keith,22,61
Die Another Day,Madonna,8,98
Hit The Freeway,Toni Braxton Featuring Loon,86,100
My Town,Montgomery Gentry,40,97
Prayer,Disturbed,58,87
Rock The Party,Benzino,82,95
Stole,Kelly Rowland,27,92
The Zephyr Song,Red Hot Chili Peppers,49,96
A Moment Like This,Kelly Clarkson,1,86
Come Into My World,Kylie Minogue,91,92
Dirrty,Christina Aguilera Featuring Redman,48,88
React,Erick Sermon Featuring Redman,36,94
When The Last Time,Clipse,19,49
Dilemma,Nelly Featuring Kelly Rowland,1,49
Gimme The Light,Sean Paul,7,44
Girl Talk,TLC,28,96
One Last Breath,Creed,6,42
Sk8er Boi,Avril Lavigne,10,85
Thug Lovin',Ja Rule Featuring Bobby Brown,42,93
Hey Ma,"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya",3,40
Like I Love You,Justin Timberlake,11,59
Luv U Better,LL Cool J,4,35
From Tha Chuuuch To Da Palace,Snoop Dogg,77,94
Goodbye To You,Michelle Branch,21,93
Single For The Rest Of My Life,Isyss,71,100
Every River,Brooks & Dunn,75,99
I Care 4 U,Aaliyah,16,59
Somewhere Out There,Our Lady Peace,44,84
These Are The Days,O-Town,64,98
Aerials,System Of A Down,55,90
Complicated,Avril Lavigne,2,41
Oh Yeah!,"Big Tymers Featuring Tateeze, Boo & Gotti",46,100
Somebody Like You,Keith Urban,23,46
Work In Progress,Alan Jackson,35,97
Baby,Ashanti,15,48
Beautiful Mess,Diamond Rio,28,61
Little Things,India.Arie,89,100
Ordinary Day,Vanessa Carlton,30,92
Po' Folks,Nappy Roots Featuring Anthony Hamilton,21,47
The Streets,WC Featuring Nate Dogg,81,91
Where Would You Be,Martina McBride,45,97
Cleanin' Out My Closet,Eminem,4,92
Gotta Get Thru This,Daniel Bedingfield,10,45
If I Could Go!,Angie Martinez Featuring Lil' Mo & Sacario,15,41
Stingy,Ginuwine,33,80
Trade It All,Fabolous Featuring P. Diddy & Jagged Edge,20,100
A Thousand Miles,Vanessa Carlton,5,46
Forgive,Rebecca Lynn Howard,71,100
Gangsta Lovin',Eve Featuring Alicia Keys,2,43
Starry Eyed Surprise,Oakenfold Featuring Shifty Shellshock,41,97
The Ketchup Song (Hey Hah),Las Ketchup,54,95
American Child,Phil Vassar,48,98
Braid My Hair,Mario,74,100
Crush Tonight,Fat Joe Featuring Ginuwine,77,97
Good Times,Styles,22,99
Heaven,DJ Sammy & Yanou Featuring Do,8,43
I Am Mine,Pearl Jam,43,96
I Need A Girl (Part Two),"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",4,50
Burnin' Up,"Faith Evans Featuring Missy ""Misdemeanor"" Elliott",60,97
Flake,Jack Johnson,73,93
I Keep Looking,Sara Evans,35,95
Two Wrongs,Wyclef Jean Featuring Claudette Ortiz,28,96
Why I Love You,B2K,73,100
"Don't Say No, Just Say Yes",Avant,96,100
Just Like A Pill,P!nk,8,51
Running Away,Hoobastank,44,54
Ten Rounds With Jose Cuervo,Tracy Byrd,26,75
Unbroken,Tim McGraw,26,94
Downfall,TRUSTcompany,91,95
Electrical Storm,U2,77,100
In Da Wind,Trick Daddy Featuring Cee-Lo & Big Boi,70,99
Move B***h,Ludacris Featuring Mystikal & Infamous 2.0,10,32
No Such Thing,John Mayer,13,50
The One You Love,Paulina Rubio,97,97
Are We Cuttin',Pastor Troy Featuring Ms. Jade,96,100
Down 4 U,"Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita",6,78
Happy,Ashanti,8,45
I Do (Wanna Get Close To You),3LW Featuring P. Diddy & Loon,58,92
Long Time Gone,Dixie Chicks,7,87
Nothin',N.O.R.E.,10,35
Objection (Tango),Shakira,55,90
Sweetness,Jimmy Eat World,75,99
By The Way,Red Hot Chili Peppers,34,76
Hot In Herre,Nelly,1,39
I Miss My Friend,Darryl Worley,28,78
Soak Up The Sun,Sheryl Crow,17,42
The Middle,Jimmy Eat World,5,49
When You Lie Next To Me,Kellie Coffey,54,100
Where Are You Going,Dave Matthews Band,39,64
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,25,83
Feel It Boy,Beenie Man Featuring Janet,28,99
She Was,Mark Chesnutt,62,100
The Good Stuff,Kenny Chesney,22,57
The Impossible,Joe Nichols,29,45
Big Machine,Goo Goo Dolls,64,87
Hero,Chad Kroeger Featuring Josey Scott,3,45
Just A Friend 2002,Mario,4,42
Love At First Sight,Kylie Minogue,23,92
My Friends Over You,New Found Glory,85,90
Steve McQueen,Sheryl Crow,88,94
The Rising,Bruce Springsteen,52,100
Why Don't We Fall In Love,Amerie,23,95
Call Me,Tweet,31,96
Drift & Die,Puddle Of Mudd,61,93
Grindin',Clipse,30,83
I've Got You,Marc Anthony,81,99
Out Of My Heart (Into Your Head),BBMak,56,100
She Loves Me Not,Papa Roach,76,95
Walking Away,Craig David,44,90
Hate To Say I Told You So,The Hives,86,91
I'm Gonna Be Alright,Jennifer Lopez Featuring Nas,10,48
Put Me Down,Donell Jones,98,100
Tainted,Slum Village Featuring Dwele,87,94
The One,Gary Allan,37,93
All Eyez On Me,Monica,69,92
Days Go By,Dirty Vegas,14,82
Foolish,Ashanti,1,49
Full Moon,Brandy,18,94
"My Neck, My Back",Khia Featuring DSD,42,100
Someone To Love You,Ruff Endz,49,83
Still Fly,Big Tymers,11,40
Way Of Life,Lil Wayne,71,97
Without Me,Eminem,2,55
I'm Gonna Miss Her (The Fishin' Song),Brad Paisley,29,83
Tonight I Wanna Be Your Man,Andy Griggs,52,100
Wherever You Will Go,The Calling,5,45
A Little Less Conversation,Elvis Presley vs JXL,50,86
Blue Jeans,Yasmeen Featuring Ghostface Killah,97,97
Blurry,Puddle Of Mudd,5,49
halfcrazy,Musiq,16,46
Oh Boy,Cam'Ron Featuring Juelz Santana,4,40
Whatchulookinat,Whitney Houston,96,96
You Know That I Love You,Donell Jones,54,91
Addictive,Truth Hurts Featuring Rakim,9,52
All You Wanted,Michelle Branch,6,46
For All Time,Soluna,72,98
Hella Good,No Doubt,13,53
Not A Day Goes By,Lonestar,36,99
Wasting My Time,Default,13,49
Gots Ta Be,B2K,34,92
What If A Woman,Joe,63,95
What's Luv?,Fat Joe Featuring Ashanti,2,46
Where Do We Go From Here,Filter,94,100
Don't Say Goodbye,Paulina Rubio,41,98
Down A** Chick,"Ja Rule Featuring Charli ""Chuck"" Baltimore",21,94
I Don't Have To Be Me ('til Monday),Steve Azar,35,75
I Need A Girl (Part One),P. Diddy Featuring Usher & Loon,2,47
Living And Living Well,George Strait,27,62
My Heart Is Lost To You,Brooks & Dunn,48,92
Quitame Ese Hombre,Pilar Montenegro,74,97
Feels Good (Don't Worry Bout A Thing),Naughty By Nature Featuring 3LW,53,93
Give It To Her,Tanto Metro & Devonte,85,96
Help Me Understand,Trace Adkins,80,90
Here To Stay,Korn,72,100
How You Remind Me,Nickelback,1,50
Rainy Dayz,Mary J. Blige Featuring Ja Rule,12,83
Here Is Gone,Goo Goo Dolls,18,80
Makin' Good Love,Avant,27,87
Say I Yi Yi,Ying Yang Twins,56,97
U Don't Have To Call,Usher,3,48
Don't Let Me Get Me,P!nk,8,49
Drive (For Daddy Gene),Alan Jackson,28,55
I Should Be Sleeping,Emerson Drive,35,89
Too Bad,Nickelback,42,82
Toxicity,System Of A Down,70,99
Underneath Your Clothes,Shakira,9,62
Wish I Didn't Miss You,Angie Stone,79,100
Awnaw,Nappy Roots,51,97
Papa Don't Preach,Kelly Osbourne,74,85
A New Day Has Come,Celine Dion,22,81
Black Suits Comin' (Nod Ya Head),Will Smith Featuring Tra-Knox,77,94
For You,Staind,63,86
I Don't Want You To Go,Carolyn Dawn Johnson,54,100
More Than A Woman,Aaliyah,25,48
One Mic,Nas,43,99
Pass The Courvoisier Part II,Busta Rhymes Featuring P. Diddy & Pharrell,11,62
Anything,Jaheim Featuring Next,28,54
Crawling In The Dark,Hoobastank,68,99
Escape,Enrique Iglesias,12,57
Guess Who's Back,Scarface Featuring Jay-Z & Beanie Sigel,79,100
That's When I Love You,Phil Vassar,37,84
What If She's An Angel,Tommy Shane Steiner,39,77
Ain't It Funny,Jennifer Lopez Featuring Ja Rule,1,43
Day + Night,Isyss Featuring Jadakiss,98,98
My List,Toby Keith,26,61
Roc The Mic,Beanie Sigel & Freeway,55,97
Saturday (Oooh! Ooooh!),Ludacris Featuring Sleepy Brown,22,71
This Woman's Work,Maxwell,58,99
Girlfriend,'N Sync Featuring Nelly,5,43
"I Breathe In, I Breathe Out",Chris Cagle,35,95
Oops (Oh My),Tweet,7,92
Young,Kenny Chesney,35,84
Hands Clean,Alanis Morissette,23,89
I Love You,Faith Evans,14,49
Youth Of The Nation,P.O.D.,28,92
Can't Get You Out Of My Head,Kylie Minogue,7,78
I'm Movin' On,Rascal Flatts,41,92
Modern Day Bonnie And Clyde,Travis Tritt,55,94
Video,India.Arie,47,98
How Come You Don't Call Me,Alicia Keys,59,87
Never,Amanda Perez,79,98
Rapture (Tastes So Sweet),iio,46,99
Sugarhigh,Jade Anderson,96,100
Take A Message,Remy Shand,89,89
Uh Huh,B2K,37,50
Blessed,Martina McBride,31,70
Overprotected,Britney Spears,86,99
Some Days You Gotta Dance,Dixie Chicks,55,95
Take Ya Home,Lil Bow Wow,72,93
That's Just Jessie,Kevin Denney,76,90
The Cowboy In Me,Tim McGraw,33,87
What About Us?,Brandy,7,94
Whoa Now,B Rich,98,100
Always On Time,Ja Rule Featuring Ashanti,1,46
Chop Suey,System Of A Down,76,92
Hero,Enrique Iglesias,3,50
I Told Y'all,Petey Pablo,94,94
It's Goin' Down,X-Ecutioners,85,99
Nothing In This World,KeKe Wyatt Featuring Avant,27,81
So Complicated,Carolyn Dawn Johnson,59,95
Take You Home With Me a.k.a. Body,R. Kelly & Jay-Z,81,96
Tell Me What's It Gonna Be,Brian McKnight Featuring Jermaine Dupri,91,100
Any Other Night,Sharissa,72,97
My Sacrifice,Creed,4,49
Song For The Lonely,Cher,85,99
Welcome To Atlanta,Jermaine Dupri & Ludacris,35,51
Be Here,Raphael Saadiq Featuring D'Angelo,99,100
Can't Fight The Moonlight,LeAnn Rimes,11,36
Family Affair,Mary J. Blige,1,46
Hey Luv (Anything),Mobb Deep Featuring 112,58,94
"Lights, Camera, Action!",Mr. Cheeks,14,48
The Long Goodbye,Brooks & Dunn,39,80
The Whole World,OutKast Featuring Killer Mike,19,57
Bouncin' Back (Bumpin' Me Against The Wall),Mystikal,37,96
Closet Freak,Cee-Lo,98,98
No Matta What (Party All Night),Toya,86,90
No More Drama,Mary J. Blige,15,77
Superman (It's Not Easy),Five For Fighting,14,45
Take Away,"Missy ""Misdemeanor"" Elliott Featuring Ginuwine & Tweet",45,100
The World's Greatest,R. Kelly,34,97
U Got It Bad,Usher,1,36
7 Days,Craig David,10,54
Bring On The Rain,Jo Dee Messina With Tim McGraw,36,57
Feel The Girl,Ms. Jade,92,92
Got Ur Self A...,Nas,87,98
Hey Baby,No Doubt Featuring Bounty Killer,5,49
Hush Lil' Lady,Corey Featuring Lil' Romeo,63,99
Wrong Impression,Natalie Imbruglia,64,100
Don't You Forget It,Glenn Lewis,30,53
Good Morning Beautiful,Steve Holy,29,60
Insatiable,Darren Hayes,77,96
Young'n (Holla Back),Fabolous,33,57
Get The Party Started,P!nk,4,48
Round And Round,Jonell & Method Man,62,100
"Whenever, Wherever",Shakira,6,49
Where Were You (When The World Stopped Turning),Alan Jackson,28,76
Butterflies,Michael Jackson,14,54
In Another World,Joe Diffie,66,99
Roll Out (My Business),Ludacris,17,47
Standing Still,Jewel,25,64
Wrapped Around,Brad Paisley,35,80
Break Ya Neck,Busta Rhymes,26,64
Brotha,Angie Stone,52,89
Caramel,City High Featuring Eve,18,48
Jigga,JAY-Z,66,99
Knoc,"Knoc-Turn'Al With Dr. Dre & Missy ""Misdemeanor"" Elliott",98,100
Alive,P.O.D.,41,87
Defy You,The Offspring,77,100
Drops Of Jupiter (Tell Me),Train,5,47
I Miss You,DMX Featuring Faith Evans,86,99
Just Let Me Be In Love,Tracy Byrd,64,96
A Woman's Worth,Alicia Keys,7,30
Let's Stay Home Tonight,Joe,68,100
Ooohhhwee,Master P Featuring Weebie,63,99
Part II,Method Man & Redman,72,96
Riding With Private Malone,David Ball,36,94
Run,George Strait,34,75
We Thuggin',Fat Joe Featuring R. Kelly,15,53
Wrapped Up In You,Garth Brooks,46,91
#1,Nelly,22,72
Drowning,Backstreet Boys,28,88
Gone,'N Sync,11,40
I'm Tryin',Trace Adkins,44,96
Where The Stars And Stripes And The Eagle Fly,Aaron Tippin,20,68
Control,Puddle Of Mudd,68,100
Dig In,Lenny Kravitz,31,82
Goodbye,Jagged Edge,58,99
I Do!!,Toya,16,47
I Wanna Talk About Me,Toby Keith,28,74
It's Been Awhile,Staind,5,48
Rock The Boat,Aaliyah,14,49
Differences,Ginuwine,4,35
Fatty Girl,"Ludacris, LL Cool J & Keith Murray",87,98
From Her Mama (Mama Got A**),Juvenile,65,93
Hanging By A Moment,Lifehouse,2,49
Livin' It Up,Ja Rule Featuring Case,6,32
You Gets No Love,Faith Evans,38,100
Emotion,Destiny's Child,10,85
Fade,Staind,62,96
Runaway,NB Ridaz Featuring Angelina,97,100
Son Of A Gun,"Janet Featuring Missy Elliott, P. Diddy & Carly Simon",28,88
Stuck In A Moment You Can't Get Out Of,U2,52,83
Fallin',Alicia Keys,1,36
"Girls, Girls, Girls",JAY-Z,17,100
I'm Real,Jennifer Lopez Featuring Ja Rule,1,49
My Sweet Lord,George Harrison,94,94
Thank You,Lil Bow Wow Featuring Jagged Edge & Fundisha,93,99
Turn Off The Light,Nelly Furtado,5,44
Wish You Were Here,Incubus,60,79
With Me,Lonestar,63,95
Burn,Mobb Deep Featuring Vita & Noyd,99,99
Dance With Me,112,39,86
I'm A Survivor,Reba,49,98
Love Of A Woman,Travis Tritt,39,83
Love Of My Life,Brian McKnight,51,95
What Am I Gonna Do,Tyrese,71,100
Do U Wanna Roll (Dolittle Theme),"R.L., Snoop Dogg & Lil' Kim",84,100
God Bless The USA,Lee Greenwood,16,96
I'm A Slave 4 U,Britney Spears,27,89
Lifetime,Maxwell,22,60
You Rock My World,Michael Jackson,10,92
Everywhere,Michelle Branch,12,63
Never Too Far/Hero Medley,Mariah Carey,81,100
The Star Spangled Banner,Whitney Houston,6,97
Ugly,Bubba Sparxxx,15,89
AM To PM,Christina Milian,27,73
God Bless America,Daniel Rodriguez,99,100
