Position,Track Name,Artist,Streams
191,She's Mine Pt. 2,J. Cole,127128
192,Rap God,Eminem,126972
193,My House,Flo Rida,126692
194,H.O.L.Y.,Florida Georgia Line,126333
195,Cake,Flo Rida,126205
196,Look Alive,Rae Sremmurd,125802
197,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,125484
198,Ordinary Life,The Weeknd,123961
199,It's Gotta Be You,Isaiah,123189
200,Versace On The Floor,Bruno Mars,122488
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1284891
2,Fake Love,Drake,1171625
3,Starboy,The Weeknd,1064931
4,Closer,The Chainsmokers,857394
5,Black Beatles,Rae Sremmurd,769249
6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,755512
7,Bad Things (with Camila Cabello),Machine Gun Kelly,706107
8,Caroline,Aminé,702976
9,Bounce Back,Big Sean,691574
10,I Feel It Coming,The Weeknd,644850
11,Broccoli (feat. Lil Yachty),DRAM,596901
12,Let Me Love You,DJ Snake,562724
13,Don't Wanna Know,Maroon 5,561464
14,Deja Vu,J. Cole,541988
15,24K Magic,Bruno Mars,527923
16,X (feat. Future),21 Savage,527040
17,Starving,Hailee Steinfeld,523866
18,One Dance,Drake,512037
19,Say You Won't Let Go,James Arthur,511102
20,In the Name of Love,Martin Garrix,498367
21,Chill Bill,Rob $tone,488153
22,Party Monster,The Weeknd,468307
23,No Heart,21 Savage,457361
24,Side To Side,Ariana Grande,449632
25,iSpy (feat. Lil Yachty),KYLE,439810
26,Sneakin’,Drake,428129
27,Heathens,Twenty One Pilots,424996
28,All We Know,The Chainsmokers,412991
29,Mercy,Shawn Mendes,408997
30,"How Far I'll Go - From ""Moana""",Alessia Cara,406010
31,Scars To Your Beautiful,Alessia Cara,404346
32,You Was Right,Lil Uzi Vert,402619
33,Call On Me - Ryan Riback Extended Remix,Starley,398502
34,OOOUUU,Young M.A,397571
35,Love Me Now,John Legend,381529
36,Neighbors,J. Cole,371625
37,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper,366317
38,Just Hold On,Steve Aoki,355508
39,Cold Water (feat. Justin Bieber & MØ),Major Lazer,352897
40,Too Good,Drake,352289
41,Swang,Rae Sremmurd,344990
42,Six Feet Under,The Weeknd,342186
43,Needed Me,Rihanna,338261
44,Controlla,Drake,332659
45,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,329747
46,Sidewalks,The Weeknd,329740
47,pick up the phone,Young Thug,328628
48,Treat You Better,Shawn Mendes,322741
49,Don't Let Me Down,The Chainsmokers,320442
50,Immortal,J. Cole,318244
51,All Time Low,Jon Bellion,312945
52,Redbone,Childish Gambino,311224
53,Some Kind Of Drug,G-Eazy,305205
54,Now and Later,Sage The Gemini,294052
55,Panda,Desiigner,288032
56,Work from Home,Fifth Harmony,284246
57,Weak,AJR,282399
58,All Night,The Vamps,279932
59,Make Me (Cry),Noah Cyrus,271854
60,Chantaje,Shakira,270741
61,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,268308
62,Low Life,Future,267127
63,Love On The Brain,Rihanna,266672
64,Work,Rihanna,265684
65,Ride,Twenty One Pilots,263489
66,Reminder,The Weeknd,261763
67,Change,J. Cole,261119
68,Used to This,Future,258359
69,Sunset Lover,Petit Biscuit,256291
70,Cheap Thrills,Sia,255752
71,goosebumps,Travis Scott,255674
72,No Role Modelz,J. Cole,254798
73,Into You,Ariana Grande,252665
74,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,251403
75,The Mack,Nevada,251175
76,"i hate u, i love u (feat. olivia o'brien)",gnash,250722
77,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,249943
78,Jumpman,Drake,249206
79,Too Many Years,Kodak Black,246694
80,Die For You,The Weeknd,243622
81,Money Longer,Lil Uzi Vert,242982
82,This Is What You Came For,Calvin Harris,239280
83,Selfish,PnB Rock,237633
84,Water Under the Bridge,Adele,236793
85,Don't,Bryson Tiller,236776
86,Water,Ugly God,234090
87,White Iverson,Post Malone,233292
88,Erase Your Social,Lil Uzi Vert,232476
89,Stressed Out,Twenty One Pilots,231658
90,Come and See Me (feat. Drake),PARTYNEXTDOOR,230585
91,Light,San Holo,230138
92,Setting Fires,The Chainsmokers,229859
93,Exchange,Bryson Tiller,229060
94,Congratulations,Post Malone,227826
95,Lot to Learn,Luke Christopher,226399
96,Never Be Like You,Flume,226168
97,Both (feat. Drake),Gucci Mane,224384
98,Moves,Big Sean,224256
99,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,224104
100,I Would Like,Zara Larsson,222361
101,All Time Low,Jon Bellion,218363
102,Too Much Sauce,DJ Esco,217190
103,"Me, Myself & I",G-Eazy,213856
104,One Night,Lil Yachty,212659
105,Shed a Light,Robin Schulz,212599
106,Lighthouse - Andrelli Remix,Hearts & Colors,210870
107,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,210667
108,Deja Vu,Post Malone,207618
109,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,207290
110,That's What I Like,Bruno Mars,206948
111,I Got You,Bebe Rexha,206235
112,Gold,Kiiara,204191
113,This Town,Niall Horan,203763
114,Litty (feat. Tory Lanez),Meek Mill,201432
115,True Colors,The Weeknd,199973
116,Secrets,The Weeknd,198781
117,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,198048
118,No Flockin,Kodak Black,197797
119,By Your Side,Jonas Blue,196819
120,Not Going Home,DVBBS,194140
121,Rockin’,The Weeknd,189001
122,Love Yourself,Justin Bieber,188397
123,PILLOWTALK,ZAYN,187203
124,Living Single,Big Sean,186436
125,Somebody Else,VÉRITÉ,185935
126,Father Stretch My Hands Pt. 1,Kanye West,185754
127,7 Years,Lukas Graham,182544
128,The Hills,The Weeknd,182216
129,Gassed Up,Nebu Kiniza,181302
130,Send My Love (To Your New Lover),Adele,181262
131,She's Mine Pt. 1,J. Cole,180896
132,Pop Style,Drake,179001
133,You & Me,Marc E. Bassy,178840
134,Capsize,FRENSHIP,178376
135,Solo Dance,Martin Jensen,178189
136,Let Me Explain,Bryson Tiller,177434
137,What They Want,Russ,177241
138,For Whom The Bell Tolls,J. Cole,176455
139,4 Your Eyez Only,J. Cole,175446
140,Ville Mentality,J. Cole,175041
141,Hymn For The Weekend - Seeb Remix,Coldplay,174487
142,Roses,The Chainsmokers,174020
143,Say It (feat. Tove Lo),Flume,172682
144,Go Flex,Post Malone,171739
145,Timeless (DJ SPINKING),A Boogie Wit da Hoodie,170309
146,Black Barbies,Nicki Minaj,169507
147,Party,Chris Brown,169065
148,My Shit,A Boogie Wit da Hoodie,168373
149,Oh Lord,MiC LOWRY,166258
150,Baptized In Fire,Kid Cudi,166055
151,Hear Me Now,Alok,165029
152,All I Know,The Weeknd,164105
153,Blue Ain't Your Color,Keith Urban,163552
154,Dynamite (feat. Pretty Sister),Nause,162767
155,Tiimmy Turner,Desiigner,162122
156,Wake Up Where You Are,State of Sound,161406
157,Famous,Kanye West,160760
158,Taped Up Heart (feat. Clara Mae),KREAM,160695
159,oui,Jeremih,160241
160,False Alarm,The Weeknd,159879
161,Foldin Clothes,J. Cole,159036
162,Ophelia,The Lumineers,159035
163,Wyclef Jean,Young Thug,158923
164,My Way,Calvin Harris,157857
165,Still Here,Drake,157732
166,How Far I'll Go,Auli'i Cravalho,157389
167,Attention,The Weeknd,156250
168,Sorry,Justin Bieber,155941
169,Cake,Flo Rida,155882
170,Good Drank,2 Chainz,155273
171,LUV,Tory Lanez,154968
172,Uber Everywhere,MadeinTYO,154598
173,The Greatest,Sia,154299
174,Hotline Bling,Drake,154152
175,Miss You,James Hersey,150913
176,'Till I Collapse,Eminem,150874
177,It's Gotta Be You,Isaiah,150558
178,Location,Khalid,149368
179,Do What I Want,Lil Uzi Vert,149100
180,Juke Jam (feat. Justin Bieber & Towkio),Chance The Rapper,148191
181,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,147759
182,Lose Yourself - Soundtrack Version,Eminem,147516
183,Let It Go,James Bay,147461
184,Unsteady,X Ambassadors,147161
185,Wet Dreamz,J. Cole,146745
186,Hello,Adele,146419
187,My House,Flo Rida,144689
188,Really Really,Kevin Gates,144086
189,H.O.L.Y.,Florida Georgia Line,143851
190,She's Mine Pt. 2,J. Cole,143724
191,No Type,Rae Sremmurd,143527
192,Ni**as In Paris,JAY Z,142322
193,Death Of A Bachelor,Panic! At The Disco,141992
194,Middle,DJ Snake,141331
195,Antidote,Travis Scott,141309
196,Versace On The Floor,Bruno Mars,141038
197,Childs Play,Drake,140941
198,everybody dies,J. Cole,139731
199,Ordinary Life,The Weeknd,139423
200,Final Song,MØ,139227
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1293486
2,Fake Love,Drake,1179471
3,Starboy,The Weeknd,1086272
4,Closer,The Chainsmokers,856349
5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,803439
6,Black Beatles,Rae Sremmurd,770885
7,Bad Things (with Camila Cabello),Machine Gun Kelly,726097
8,Caroline,Aminé,709420
9,Bounce Back,Big Sean,704667
10,I Feel It Coming,The Weeknd,669820
11,Broccoli (feat. Lil Yachty),DRAM,592083
12,Don't Wanna Know,Maroon 5,564578
13,Deja Vu,J. Cole,552100
14,Let Me Love You,DJ Snake,547136
15,X (feat. Future),21 Savage,531623
16,24K Magic,Bruno Mars,529367
17,Say You Won't Let Go,James Arthur,527210
18,Starving,Hailee Steinfeld,509437
19,In the Name of Love,Martin Garrix,506815
20,One Dance,Drake,498653
21,Chill Bill,Rob $tone,489825
22,Party Monster,The Weeknd,476897
23,Side To Side,Ariana Grande,469393
24,iSpy (feat. Lil Yachty),KYLE,469245
25,No Heart,21 Savage,468635
26,Sneakin’,Drake,443138
27,"How Far I'll Go - From ""Moana""",Alessia Cara,434447
28,All We Know,The Chainsmokers,432986
29,Heathens,Twenty One Pilots,420559
30,Mercy,Shawn Mendes,417527
31,Scars To Your Beautiful,Alessia Cara,413953
32,You Was Right,Lil Uzi Vert,413916
33,Call On Me - Ryan Riback Extended Remix,Starley,413847
34,OOOUUU,Young M.A,398848
35,Love Me Now,John Legend,398203
36,Neighbors,J. Cole,378035
37,No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper,376076
38,Just Hold On,Steve Aoki,371940
39,Six Feet Under,The Weeknd,361858
40,Swang,Rae Sremmurd,361043
41,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,356185
42,Cold Water (feat. Justin Bieber & MØ),Major Lazer,354442
43,Sidewalks,The Weeknd,349443
44,pick up the phone,Young Thug,337873
45,Controlla,Drake,335835
46,Too Good,Drake,335005
47,All Time Low,Jon Bellion,334592
48,Immortal,J. Cole,329574
